Transaction_ID,Order_ID,Order_Date,Ship_Date,Delivery_Date,Sales_Channel,Order_Status,Payment_Mode,Customer_ID,Customer_Name,Customer_Age,Gender,Customer_Segment,Customer_Rating,Country,State,City,Region,Postal_Code,Latitude,Longitude,Product_ID,Product_Name,Category,Sub_Category,Brand,Product_Type,Unit_Cost,Unit_Price,Quantity,Sales,Discount_Percentage,Discount_Amount,Cost,Profit,Profit_Margin,Tax,Shipping_Cost,Total_Amount,Year,Quarter,Month,Month_Number,Month_Name,Week_Number,Day,Day_Name,Sales_Target,Profit_Target,Monthly_Target,Target_Achievement_Percentage
TXN201203,ORD100741,2026-05-28,2026-06-01,2026-06-02,Online,Delivered,Credit Card,C1826,Aaron Schroeder,35,Male,Consumer,2.3,USA,California,Los Angeles,West,55695,34.0342113045536,-118.26327981003108,P1066,GoldenHarvest Wheat,Grocery,Staples,FarmFresh,Limited Edition,3.28,4.16,1,4.16,0.071,0.3,3.28,0.58,0.1394,0.31,21.34,25.51,2026,Q2,May-2026,5,May,22,28,Thursday,165.48,42.8,4136.96,2.51
TXN206600,ORD104022,2025-12-17,2025-12-19,2025-12-24,Online,Delivered,Net Banking,C1957,Ellen Henry,31,Female,Home Office,1.9,USA,Washington,Seattle,West,22573,47.62221307119037,-122.35011661029387,P1064,GoldenCrisp Bun,Grocery,Bakery,PureHarvest,Standard,1.13,1.5,6,9.0,0.203,1.83,6.78,0.39,0.0433,0.57,10.13,17.87,2025,Q4,Dec-2025,12,December,51,17,Wednesday,221.62,59.55,5540.57,4.06
TXN203521,ORD102132,2025-11-07,2025-11-08,2025-11-10,Mobile App,Cancelled,PayPal,C1837,Christopher Cantu,39,Male,Consumer,1.9,Australia,New South Wales,Sydney,New South Wales,61037,-33.88658994368887,151.22334510361264,P1013,ActionCam 4K,Electronics,Cameras,Voltrix,Economy,219.72,303.52,8,2428.16,0.063,152.97,1757.76,517.43,0.2131,182.02,12.99,2470.2,2025,Q4,Nov-2025,11,November,45,7,Friday,427.23,105.49,10680.81,568.35
TXN202893,ORD101770,2025-10-06,2025-10-07,2025-10-09,Online,Delivered,Cash on Delivery,C1792,Jason Taylor,44,Male,Corporate,4.6,USA,Washington,Seattle,West,77835,47.610515450242424,-122.34129696675474,P1104,CoolBreeze AC,Home Appliances,Cooling & Heating,ChillMax,Limited Edition,32.89,40.2,1,40.2,0.236,9.49,32.89,-2.18,-0.0542,2.46,22.22,55.39,2025,Q4,Oct-2025,10,October,41,6,Monday,416.97,113.7,10424.34,9.64
TXN207002,ORD104273,2026-08-13,2026-08-14,2026-08-15,In-Store,Cancelled,PayPal,C2003,Derrick Brown,18,Male,Consumer,4.1,India,Delhi,New Delhi,North,25148,28.60324897837483,77.21088879344616,P1098,QuickBlend Mixer,Home Appliances,Kitchen Appliances,ChillMax,Standard,443.79,689.52,1,689.52,0.042,28.96,443.79,216.77,0.3144,52.84,13.68,727.08,2026,Q3,Aug-2026,8,August,33,13,Thursday,393.29,95.08,9832.31,175.32
TXN206232,ORD103794,2024-06-01,2024-06-03,2024-06-06,Online,Processing,Credit Card,C1959,April Hardin,32,Female,Corporate  ,4.7,India,West Bengal,Kolkata,East,11378,22.55766251877666,88.37913605899949,P1083,FlexTrain Dumbbells,Sports,Fitness Equipment,FitCore,Premium,135.1,177.24,3,531.72,0.036,19.14,405.3,107.28,0.2018,41.01,8.66,562.25,2024,Q2,Jun-2024,6,June,22,1,Saturday,241.6,59.43,6039.94,220.08
TXN200026,ORD100020,2024-09-12,2024-09-15,2024-09-21,Online,Returned,Credit card,C1999,Jennifer Burns,35,Female,Consumer,4.1,USA,Florida,Miami,East,93083,25.757121920053617,-80.17408178181057,P1052,CozyKnit Sweater,Clothing,Winter Wear,UrbanThread,Economy,73.07,116.87,3,350.61,0.068,23.84,219.21,107.56,0.3068,26.14,5.06,357.97,2024,Q3,Sep-2024,9,September,37,12,Thursday,154.7,37.38,3867.38,226.64
TXN204854,ORD102954,2026-07-11,2026-07-13,2026-07-19,Online,Delivered,UPI,C1151,Mark Hill,19,Male,Corporate,4.6,India,Delhi,New Delhi,North,19307,28.61649665987902,77.20832283286009,P1073,StrongRoot Oil,Beauty,Haircare,VelvetTouch,Limited Edition,37.75,62.36,2,124.72,0.063,7.86,75.5,41.36,0.3316,9.35,18.71,144.92,2026,Q3,Jul-2026,7,July,28,11,Saturday,193.41,42.7,4835.24,64.48
TXN201458,ORD100894,2024-01-22,2024-01-26,2024-01-30,Online,Shipped,Credit Card,C1787,Laurie Bailey,26,Female,Corporate,4.2,Australia,Queensland,Brisbane,Queensland,23470,-27.488138963957343,153.03705299273446,P1074,VelvetMatte Lipstick,Beauty,Makeup,GlowEssence,Premium,5.93,8.87,1,8.87,0.084,0.75,5.93,2.19,0.2469,0.65,20.24,29.01,2024,Q1,Jan-2024,1,January,4,22,Monday,141.59,36.74,3539.64,6.26
TXN203889,ORD102354,2026-08-21,2026-08-22,2026-08-24,Online,Cancelled,UPI,C1787,Laurie Bailey,26,Female,Corporate,3.7,India,Tamil Nadu,Chennai,South,70780,13.088965682114129,80.26664638395802,P1039,UrbanDenim Jeans,Clothing,Men's Wear,TrendLoom,Limited Edition,31.88,47.59,2,95.18,0.224,21.32,63.76,10.1,0.1061,5.91,22.94,102.71,2026,Q3,Aug-2026,8,August,34,21,Friday,178.87,38.99,4471.66,53.21
TXN201099,ORD100679,2026-05-30,2026-05-31,2026-06-05,In-Store,Delivered,Net Banking,C1948,Zachary Dickson,18,Male,Consumer,3.6,UK,Cardiff County,Cardiff,Wales,49790,51.474811916165365,-3.1753133534485967,P1081,FreshMint Toothpaste,Beauty,Personal Care,AuraCare,Standard,39.11,65.51,3,196.53,0.119,23.39,117.33,55.81,0.284,13.85,18.68,205.67,2026,Q2,May-2026,5,May,22,30,Saturday,173.62,33.76,4340.39,113.2
TXN202348,ORD101428,2026-12-09,2026-12-10,2026-12-12,Online,Delivered,PayPal,C1595,Timothy Russell,37,Male,Corporate,3.5,USA,Texas,Dallas,South,53269,32.791839913428475,-96.78125405233729,P1096,DryFit Tshirt,Sports,Sportswear,FitCore,Premium,361.16,570.58,6,3423.48,0.104,356.04,2166.96,900.48,0.263,245.4,14.69,3327.53,2026,Q4,Dec-2026,12,December,50,9,Wednesday,294.76,68.36,7368.99,1161.45
